name,lat,lon,lines,peak_only
Landungsbrücken (Pier 3),53.5453,9.9681,62 64 72,0
Altona (Fähre),53.5447,9.9319,62,0
Finkenwerder,53.5369,9.9239,62,0
Teufelsbrück,53.5594,9.8617,64,0
Cranz,53.5358,9.8467,64,0
Lühe-Anleger,53.6000,9.7683,64,1
Wischhafen,53.6153,9.5989,64,1
Schulau,53.5783,9.6739,64,1
Stadersand,53.6000,9.4786,64,1
Steinwerder Süd,53.5300,9.9567,72,0
Kirchdorf Süd,53.5133,10.0156,72,0
Altenwerder,53.5064,9.9444,72,1
Övelgönne,53.5583,9.8822,62,0
Dockland,53.5531,9.9178,62,0
Neumühlen/Altona,53.5478,9.9394,62,0
Fischmarkt,53.5461,9.9614,62,0
Baumwall,53.5436,9.9842,62,0
