name,lat,lon,mode
Elbbrücken,53.535274,10.023549,U
HafenCity Universität,53.540630,10.007598,U
Überseequartier,53.540473,9.998453,U
Jungfernstieg,53.553186,9.994407,U
Hauptbahnhof Nord,53.554074,10.006007,U
Berliner Tor,53.553338,10.023155,U
Elbbrücken,53.535219,10.023653,U
Berliner Tor,53.553483,10.023023,U
Berliner Tor,53.553350,10.022899,U
Burgstraße,53.555767,10.041656,U
Hammer Kirche,53.555573,10.055517,U
Rauhes Haus,53.554185,10.066034,U
Horner Rennbahn,53.553533,10.084282,U
Legienstraße,53.547308,10.095390,U
Billstedt,53.542364,10.107172,U
Billstedt,53.542498,10.107312,U
Billstedt,53.542436,10.107204,U
Überseequartier,53.540383,9.998481,U
Jungfernstieg,53.553410,9.994472,U
Berliner Tor,53.553257,10.023214,U
HafenCity Universität,53.540550,10.007581,U
Burgstraße,53.555829,10.041656,U
Hauptbahnhof Nord,53.554166,10.006008,U
Billstedt,53.542551,10.107373,U
Legienstraße,53.547468,10.095601,U
Horner Rennbahn,53.553831,10.083510,U
Rauhes Haus,53.554272,10.066060,U
Hammer Kirche,53.555680,10.055550,U
Saarlandstraße,53.589104,10.032190,U
Borgweg (Stadtpark),53.590806,10.014863,U
Sierichstraße,53.590419,10.001066,U
Kellinghusenstraße,53.588914,9.990836,U
Eppendorfer Baum,53.583794,9.985235,U
Hoheluftbrücke,53.577668,9.976275,U
Schlump,53.568015,9.969879,U
Sternschanze (Messe),53.564347,9.969187,U
Feldstraße (Heiligengeistfeld),53.556933,9.968624,U
St.Pauli,53.550510,9.970097,U
Landungsbrücken,53.545861,9.971272,U
Baumwall (Elbphilharmonie),53.544179,9.981237,U
Rödingsmarkt,53.548368,9.987037,U
Rathaus,53.550464,9.994734,U
Mönckebergstraße,53.551296,10.002239,U
Hauptbahnhof Süd,53.552145,10.009230,U
Lübecker Straße,53.559560,10.028965,U
Uhlandstraße,53.564502,10.026942,U
Mundsburg,53.569396,10.027599,U
Hamburger Straße,53.574445,10.037336,U
Dehnhaide,53.579224,10.040993,U
Barmbek,53.587264,10.044377,U
Barmbek(2),53.587264,10.044377,U
Saarlandstraße,53.589157,10.032206,U
Barmbek,53.587344,10.044424,U
Habichtstraße,53.593583,10.052251,U
Wandsbek-Gartenstadt,53.592420,10.074922,U
Saarlandstraße,53.589032,10.032158,U
Barmbek,53.587192,10.044345,U
Barmbek(2),53.587192,10.044345,U
Barmbek,53.587093,10.044297,U
Dehnhaide,53.579252,10.040888,U
Hamburger Straße,53.574467,10.037253,U
Mundsburg,53.569448,10.027529,U
Uhlandstraße,53.564488,10.026838,U
Lübecker Straße,53.559571,10.028814,U
Hauptbahnhof Süd,53.552280,10.009203,U
Mönckebergstraße,53.551377,10.002195,U
Rathaus,53.550525,9.994699,U
Rödingsmarkt,53.548405,9.986917,U
Baumwall (Elbphilharmonie),53.544250,9.981232,U
Landungsbrücken,53.545915,9.971315,U
St.Pauli,53.550509,9.970188,U
Feldstraße (Heiligengeistfeld),53.556939,9.968709,U
Sternschanze (Messe),53.564348,9.969273,U
Schlump,53.568022,9.970151,U
Hoheluftbrücke,53.577631,9.976350,U
Eppendorfer Baum,53.583766,9.985310,U
Kellinghusenstraße,53.588787,9.991015,U
Sierichstraße,53.590366,10.001064,U
Borgweg (Stadtpark),53.590752,10.014877,U
Saarlandstraße,53.588978,10.032141,U
Barmbek(2),53.587093,10.044297,U
Wandsbek-Gartenstadt,53.592483,10.074878,U
Habichtstraße,53.593646,10.052237,U
Niendorf Markt,53.620249,9.951702,U
Hagendeel,53.603894,9.945171,U
Hagenbecks Tierpark,53.592870,9.943852,U
Lutterothstraße,53.582067,9.947598,U
Osterstraße,53.576097,9.951570,U
Emilienstraße,53.571640,9.952648,U
Christuskirche,53.569540,9.962412,U
Schlump,53.567701,9.969731,U
Messehallen,53.558175,9.976626,U
Gänsemarkt (Oper),53.555632,9.986482,U
Jungfernstieg,53.553257,9.994424,U
Niendorf Nord,53.640712,9.950152,U
Schippelsweg,53.634780,9.952649,U
Joachim-Mähl-Straße,53.628177,9.950264,U
Niendorf Nord,53.640729,9.950228,U
Merkenstraße,53.538615,10.124678,U
Steinfurther Allee,53.541003,10.139207,U
Mümmelmannsberg,53.528723,10.150053,U
Mümmelmannsberg,53.528723,10.150053,U
